time_s,reference_time_s,estimate_x,estimate_y,estimate_z,estimate_vx,estimate_vy,estimate_vz,estimate_qw,estimate_qx,estimate_qy,estimate_qz,estimate_p,estimate_q,estimate_r,sigma_x,sigma_y,sigma_z,sigma_vx,sigma_vy,sigma_vz,sigma_qw,sigma_qx,sigma_qy,sigma_qz,sigma_p,sigma_q,sigma_r,truth_x,truth_y,truth_z,truth_vx,truth_vy,truth_vz,truth_qw,truth_qx,truth_qy,truth_qz,truth_p,truth_q,truth_r,reference_x,reference_y,reference_z,reference_vx,reference_vy,reference_vz,reference_qw,reference_qx,reference_qy,reference_qz,reference_p,reference_q,reference_r,thrust_0_n,thrust_1_n,thrust_2_n,thrust_3_n,solver_time_ms,solver_cost,solver_iterations,solver_success,solver_status
64.58,64.05,1.6128356919614915,1.8012241554499158,-2.0717455650560783,0.5044132561563492,0.36987599107202324,-0.057408366696366855,0.9587452924885277,-0.019521381376962937,0.01675732994463323,0.28309993234430386,-0.02542177770946684,-0.5251631172310312,-0.41159073936207635,0.012601208521856243,0.012607491910149546,0.011128318340362762,0.06232786611963015,0.06243999918154147,0.04711338479432886,0.012079778134575692,0.007035633468005292,0.007040078813822018,0.04082224226751619,0.0015000000000003836,0.0015000000000003836,0.0015000000000003836,1.614174473177309,1.8104459856205368,-2.0723870990952626,0.53198827423397,0.4184260272733586,-0.052606481135080235,0.9507922087318879,-0.017388986553653594,0.015176194288116151,0.3089684160044591,-0.03670566673109088,-0.5422299553989486,-0.4192550457761208,1.6217476057519868,1.819148855683961,-2.0793545071613253,0.6309682392580123,0.415541045163933,-0.06757281690633278,0.957902770825751,0.0,0.0,0.2870928101578801,0.0,0.0,-0.4289407745604442,3.123703874116419,2.8797208166038715,3.221476657085706,2.8372510934511226,18.56764900003327,2.373165232996117,6,True,Solve_Succeeded
64.59,64.05,1.6178707322103132,1.8048971985155011,-2.0723275339985783,0.5025947936075038,0.36473262204465545,-0.058985421803620736,0.9593944160793232,-0.018832648333321395,0.014071351783110931,0.28108661087210113,-0.010734263496261543,-0.5483481265663367,-0.43098702230546104,0.013091512009769634,0.013098724009069022,0.011466947050861535,0.06370345641853228,0.06379871072743956,0.047791819607523524,0.011992950934561273,0.007077329584532877,0.007081354848623865,0.04085415277144439,0.0015000000000003836,0.0015000000000003836,0.0015000000000003836,1.6194673703294455,1.814596552958752,-2.072953226578615,0.5301663372448913,0.4141507744147016,-0.05500224366520787,0.9514753742226235,-0.016757643660859505,0.012578309583517928,0.30701071602612756,-0.028450198068446425,-0.5168807067715434,-0.4235382863748513,1.6217476057519868,1.819148855683961,-2.0793545071613253,0.6309682392580123,0.415541045163933,-0.06757281690633278,0.957902770825751,0.0,0.0,0.2870928101578801,0.0,0.0,-0.4289407745604442,3.123703874116419,2.8797208166038715,3.221476657085706,2.8372510934511226,18.56764900003327,2.373165232996117,6,True,Solve_Succeeded
64.6,64.10000000000001,1.6228931456616473,1.8085253362766807,-2.072930394114265,0.5018878966602442,0.3608949301918994,-0.06158660133389813,0.9600443049386607,-0.01850446345592776,0.011653097226547391,0.27899233450415967,-0.06463471003823848,-0.4764050315267492,-0.44656965200621257,0.013599426454549576,0.013607506508755886,0.011814951170629176,0.06507587002626901,0.06515564287651474,0.04845953409301471,0.01190290447893284,0.007120014039762218,0.007121806161941534,0.04088667867823249,0.0014999999999993179,0.0014999999999993179,0.0014999999999993179,1.6247465303982798,1.8187072946786078,-2.0735426480093304,0.5287931789752854,0.41015944296245077,-0.0574146811427005,0.952153597679349,-0.016125830999215596,0.010113180943990118,0.3050265686330477,-0.020130078500265464,-0.49155717225221135,-0.4278215269735817,1.6531684987661037,1.8393552893240424,-2.082765922523119,0.6258511162153217,0.39267420326387253,-0.06888202078192099,0.9610083418587348,0.0,0.0,0.2765193788469898,0.0,0.0,-0.4528781991550817,3.123703874116419,2.8797208166038715,3.221476657085706,2.8372510934511226,18.56764900003327,2.373165232996117,6,True,Solve_Succeeded
64.61,64.10000000000001,1.6242677173599496,1.8134125120813425,-2.0758117302282804,0.4869118338578139,0.3609302847851086,-0.07121824152474046,0.9609524808435164,-0.01737785103926036,0.009989973648971005,0.27598648568442896,0.0020863541863070986,-0.4707816571840852,-0.4255722101687245,0.011682330749437956,0.011687354618778074,0.010481034797247185,0.05961227099779664,0.059655501733207536,0.04572356583174431,0.011754052690764455,0.006968180767025595,0.006963854234243678,0.040861808388223175,0.0015000000000003836,0.0015000000000003836,0.0015000000000003836,1.63001620055055,1.8227809593490771,-2.074155517938083,0.5278444803578178,0.4064421980754769,-0.059840630388215466,0.9528276506601768,-0.015492880597213366,0.0077808342543063515,0.30301633191383515,-0.01174374349658086,-0.4662601046618682,-0.43210476757231203,1.6531684987661037,1.8393552893240424,-2.082765922523119,0.6258511162153217,0.39267420326387253,-0.06888202078192099,0.9610083418587348,0.0,0.0,0.2765193788469898,0.0,0.0,-0.4528781991550817,3.123703874116419,2.8797208166038715,3.221476657085706,2.8372510934511226,18.56764900003327,2.373165232996117,6,True,Solve_Succeeded
64.62,64.10000000000001,1.6291317736406836,1.8170021181779095,-2.076540948814668,0.48589942228847216,0.356990934527906,-0.07462547575277559,0.9616165529494732,-0.016717503569162868,0.007854956943681862,0.27377441410657966,0.015793174590267963,-0.440420192396283,-0.46789756551437334,0.012137328954559988,0.012142844601932084,0.010800071844634518,0.06098671568782819,0.06101720532630391,0.04642090997111404,0.011659586142470795,0.007014599573797357,0.007005880579931977,0.04089438261399106,0.0015000000000003836,0.0015000000000003836,0.0015000000000003836,1.6352803839302854,1.8268201994262687,-2.0747919608115315,0.5272958272531242,0.40298944989060254,-0.06227731341126957,0.9534982519451031,-0.01485811442380064,0.005581286706629234,0.3009803468868036,-0.0032896335719948266,-0.44099026835726013,-0.4363880081710423,1.6531684987661037,1.8393552893240424,-2.082765922523119,0.6258511162153217,0.39267420326387253,-0.06888202078192099,0.9610083418587348,0.0,0.0,0.2765193788469898,0.0,0.0,-0.4528781991550817,3.111095613906619,2.8925475394801086,3.1974948995211947,2.756736226678823,18.877566000810475,1.975134358175335,8,True,Solve_Succeeded
64.63,64.10000000000001,1.63397902409188,1.8205426754513463,-2.077298445172807,0.483550667951659,0.3511205201600666,-0.07687379587515765,0.9622173873967569,-0.016202147670989188,0.005786838209266186,0.2717382974586885,-0.008917074718471946,-0.42010374264920464,-0.430598399358454,0.012610503723010345,0.012616419110556488,0.011129060731783137,0.06237269711086652,0.06238526629208402,0.04710973449534826,0.011572593230884706,0.007061537733638991,0.007047373072620655,0.04092450673840495,0.0014999999999993179,0.0014999999999993179,0.0014999999999993179,1.6405428411108232,1.8308277098920887,-2.075447297260099,0.527122524894337,0.3997996526263239,-0.0642784342521728,0.954165337008635,-0.014282446588358269,0.003537726761623161,0.2989180587719797,-0.01359302949997479,-0.40096588954272516,-0.44088328144787575,1.6531684987661037,1.8393552893240424,-2.082765922523119,0.6258511162153217,0.39267420326387253,-0.06888202078192099,0.9610083418587348,0.0,0.0,0.2765193788469898,0.0,0.0,-0.4528781991550817,3.111095613906619,2.8925475394801086,3.1974948995211947,2.756736226678823,18.877566000810475,1.975134358175335,8,True,Solve_Succeeded
64.64,64.10000000000001,1.6388189321264335,1.824038576237651,-2.078072090167394,0.484430938958546,0.3480596371005105,-0.07785520304222883,0.9628357074937738,-0.015797232187632,0.004178681655421889,0.2695930014851961,-0.004989701546383975,-0.3252506494701404,-0.4511966943094739,0.01310149770658134,0.013107670982969647,0.011467704000979346,0.06372232684929348,0.0637124409769265,0.04778571501842618,0.011481505623671019,0.007107257116760922,0.007088375653401777,0.04095577253203966,0.0015000000000003836,0.0015000000000003836,0.0015000000000003836,1.6458070579734363,1.8348059259887275,-2.076117689681387,0.5272968714800266,0.3968496625775411,-0.06590663493474724,0.9548292479933003,-0.01381542109592072,0.0016695535052053483,0.29682899775389954,-0.02377609800573363,-0.36090673928961703,-0.4453785547247092,1.6531684987661037,1.8393552893240424,-2.082765922523119,0.6258511162153217,0.39267420326387253,-0.06888202078192099,0.9610083418587348,0.0,0.0,0.2765193788469898,0.0,0.0,-0.4528781991550817,3.111095613906619,2.8925475394801086,3.1974948995211947,2.756736226678823,18.877566000810475,1.975134358175335,8,True,Solve_Succeeded
64.65,64.15,1.6436666505637134,1.827503163395747,-2.078858864732254,0.4851127484969289,0.3448577945183454,-0.07949970992967115,0.9634532845798269,-0.01555207575988882,0.0025385005995019437,0.26741252286796185,-0.03745383501826736,-0.32269176752855055,-0.4581664111281146,0.01360994891296128,0.013616203999240304,0.011815708727402369,0.06508094224700474,0.06505061295087772,0.04845247386754831,0.011388796780668098,0.007153392939770506,0.00712874856981462,0.040987207385457025,0.0015000000000003836,0.0015000000000003836,0.0015000000000003836,1.6510762488336115,1.8387568376743675,-2.076803183993481,0.5277925481660345,0.39409751570339874,-0.06753821568411095,0.9554909583916626,-0.01345609470227435,-2.2617337896180613e-05,0.2947133546950349,-0.03383598455242867,-0.32081253078757627,-0.44987382800154263,1.684331087565642,1.8584121857818896,-2.086242529860657,0.6206362052090147,0.36956195276887577,-0.07018046198190175,0.964160344796152,0.0,0.0,0.265320239564503,0.0,0.0,-0.47807972574492935,3.111095613906619,2.8925475394801086,3.1974948995211947,2.756736226678823,18.877566000810475,1.975134358175335,8,True,Solve_Succeeded
64.66,64.15,1.6518803219584581,1.8471219412802842,-2.0740476288082887,0.4976304883915014,0.401222607473512,-0.06597194234079577,0.9649144508483051,-0.01240579263912031,-0.0004809604365968113,0.26227079046315355,-0.044170034862430006,-0.27543509471076194,-0.4439922902831474,0.011688438573014567,0.011691698975615254,0.010481459790425687,0.059568528292228445,0.05951528160995968,0.04571391747374439,0.011149905342987775,0.007009599865864268,0.006970410953355884,0.04097700689572185,0.0014999999999993179,0.0014999999999993179,0.0014999999999993179,1.656353364231605,1.842682112180035,-2.0775038056170385,0.5285831135776288,0.3915109745685317,-0.0691713881979232,0.9561513197236733,-0.013203505315553046,-0.0015381721324308577,0.2925712823647448,-0.04376983007534785,-0.2806829995011717,-0.45436910127837593,1.684331087565642,1.8584121857818896,-2.086242529860657,0.6206362052090147,0.36956195276887577,-0.07018046198190175,0.964160344796152,0.0,0.0,0.265320239564503,0.0,0.0,-0.47807972574492935,3.111095613906619,2.8925475394801086,3.1974948995211947,2.756736226678823,18.877566000810475,1.975134358175335,8,True,Solve_Succeeded
64.67,64.15,1.6568573986817081,1.8511221982448023,-2.074703482479118,0.4977848562580106,0.39882878542966804,-0.06519879182501113,0.9654791690269094,-0.012315536796120977,-0.001699722347292721,0.2601834212098727,-0.045311069359316364,-0.23470179876980843,-0.43548233473720843,0.012143334594776286,0.012146311302453989,0.010800463384103932,0.06089888404366689,0.060837885829090124,0.04640994217636,0.011061826859226688,0.00705599382903667,0.0070110473178785805,0.041006563567937554,0.0015000000000003836,0.0015000000000003836,0.0015000000000003836,1.6616410848861265,1.8465831011729634,-2.0782193848650015,0.5296415735072824,0.3890584873487772,-0.07078667177742805,0.956811058816173,-0.013057005348029366,-0.0028767966670804786,0.2904028863137412,-0.054385460465209104,-0.2408943009403344,-0.4588870471336242,1.684331087565642,1.8584121857818896,-2.086242529860657,0.6206362052090147,0.36956195276887577,-0.07018046198190175,0.964160344796152,0.0,0.0,0.265320239564503,0.0,0.0,-0.47807972574492935,3.082270451966502,2.8366403376906106,3.1356951040351886,2.688765356033471,17.793126000469783,1.6301515282352814,8,True,Solve_Succeeded
64.68,64.15,1.6618494027594628,1.8551031271044736,-2.0753553474306354,0.5006159592924291,0.39735698650418527,-0.06517419847847276,0.9660791317930708,-0.012338466326475627,-0.0027642823758413132,0.2579364885114233,-0.0591100238472151,-0.1986311888978805,-0.46770927679302793,0.012616015595137762,0.012618542433229218,0.011129395900159796,0.06222906263498438,0.06214911720512491,0.04709431992372216,0.010967097289259492,0.007101484305887994,0.007051110371981762,0.04103785012063883,0.0015000000000003836,0.0015000000000003836,0.0015000000000003836,1.666941674271111,1.8504610925570337,-2.078938660400689,0.5309274053290571,0.38673209687406795,-0.07126731759974986,0.9574706019704643,-0.013036617810478565,-0.004056611571221478,0.2882076280408635,-0.07217297627538977,-0.20444168488568554,-0.46360904619460797,1.684331087565642,1.8584121857818896,-2.086242529860657,0.6206362052090147,0.36956195276887577,-0.07018046198190175,0.964160344796152,0.0,0.0,0.265320239564503,0.0,0.0,-0.47807972574492935,3.082270451966502,2.8366403376906106,3.1356951040351886,2.688765356033471,17.793126000469783,1.6301515282352814,8,True,Solve_Succeeded
64.69,64.15,1.6668558669621116,1.8590628420931832,-2.0760027969916335,0.5006768812382152,0.39458601123845355,-0.06431571372124739,0.9666613193803307,-0.012633596937693652,-0.0036805693984364196,0.25572004076958355,-0.1040817149657008,-0.1560252661906461,-0.4603856390412269,0.013106197559811817,0.013108099546829328,0.011467962528821362,0.06356463983764463,0.06347629275725235,0.04777052046371619,0.010873675258486775,0.007146021400936681,0.007090123318414438,0.04106880589974611,0.0014999999999993179,0.0014999999999993179,0.0014999999999993179,1.6722572030183103,1.8543169127900854,-2.079655184581717,0.5324198628139748,0.38448704052289323,-0.07110098552559237,0.9581302643576396,-0.013153467275053751,-0.005087562573290855,0.2859851386482638,-0.08983941824842365,-0.1679240615552846,-0.46833104525559166,1.684331087565642,1.8584121857818896,-2.086242529860657,0.6206362052090147,0.36956195276887577,-0.07018046198190175,0.964160344796152,0.0,0.0,0.265320239564503,0.0,0.0,-0.47807972574492935,3.082270451966502,2.8366403376906106,3.1356951040351886,2.688765356033471,17.793126000469783,1.6301515282352814,8,True,Solve_Succeeded
64.7,64.2,1.6718605752888411,1.86299673779269,-2.076644794598764,0.5002647841071554,0.3921931286624868,-0.06408380770485696,0.9672260389505916,-0.013126655986674408,-0.004488219805849806,0.2535376428886463,-0.13681071554148339,-0.12499823428143875,-0.45248905594226985,0.013613625762890467,0.013614803556341313,0.01181588293268824,0.06490412042648547,0.06481400493292001,0.04843724242396854,0.010781703613275132,0.007189778626496315,0.0071283650103632825,0.04109933046786204,0.0015000000000003836,0.0015000000000003836,0.0015000000000003836,1.6775896180222372,1.8581508855305735,-2.0803689331056594,0.5341070318818769,0.3822738168334009,-0.07093200712720871,0.9587903244506695,-0.013406689723388612,-0.005968840171582747,0.28373534738810197,-0.10738193414100275,-0.1313405956446772,-0.47305304431657536,1.715230503059511,1.8763076351175516,-2.089783785961117,0.615324321058325,0.34621873808315934,-0.07146793762747962,0.9673457840104381,0.0,0.0,0.25346032067609864,0.0,0.0,-0.5045605684462118,3.082270451966502,2.8366403376906106,3.1356951040351886,2.688765356033471,17.793126000469783,1.6301515282352814,8,True,Solve_Succeeded
64.71,64.2,1.6755220862396873,1.854491722297984,-2.0736960694467,0.49637047472208806,0.34505764693470103,-0.0522257002731579,0.9671822534794848,-0.01599924108002228,-0.004016216614377049,0.2535475948284966,-0.11324498108441447,-0.07742009643963904,-0.500663510662528,0.011689394760993725,0.011689232655614413,0.010481481384446194,0.05937122099248704,0.05928740914120807,0.04569983692122539,0.010761691313122065,0.007045446435937976,0.0069682324897224444,0.041036864382430704,0.0014999999999993179,0.0014999999999993179,0.0014999999999993179,1.6829406619741423,1.8619629858044844,-2.0810798738381875,0.5359684185130069,0.3800575923503633,-0.07075969003934483,0.9594509430851238,-0.013795402985790078,-0.006699630689561926,0.2814581489638376,-0.12479766169188941,-0.09469047533926025,-0.4777750433775589,1.715230503059511,1.8763076351175516,-2.089783785961117,0.615324321058325,0.34621873808315934,-0.07146793762747962,0.9673457840104381,0.0,0.0,0.25346032067609864,0.0,0.0,-0.5045605684462118,3.082270451966502,2.8366403376906106,3.1356951040351886,2.688765356033471,17.793126000469783,1.6301515282352814,8,True,Solve_Succeeded
64.72,64.2,1.680494847545006,1.857923115667998,-2.074228311018988,0.49818178634112475,0.3412210270677382,-0.054222614184466375,0.9678371002660877,-0.016596866440528765,-0.004566140184774371,0.2509881306689609,-0.14344989840436292,-0.06735432819336983,-0.5295822844303637,0.012143060960873874,0.012142032642639687,0.010800399634031123,0.060732879724155774,0.06063048034681855,0.04639627242045505,0.010654017129076293,0.0070884636632656366,0.0070068555703821644,0.04107152169860443,0.0015000000000003836,0.0015000000000003836,0.0015000000000003836,1.6883118868222888,1.865752823363331,-2.0817887898839214,0.5379849508564984,0.37780170842845157,-0.07066591224854316,0.9601121775532224,-0.014319369859092216,-0.007279071347693959,0.2791533221746845,-0.14291652587389947,-0.05766652513854077,-0.48259976870823373,1.715230503059511,1.8763076351175516,-2.089783785961117,0.615324321058325,0.34621873808315934,-0.07146793762747962,0.9673457840104381,0.0,0.0,0.25346032067609864,0.0,0.0,-0.5045605684462118,3.1869883209478473,2.9079450963155065,3.233098786888954,2.7442495514701655,17.25614899987704,1.4447756978519604,8,True,Solve_Succeeded
