time_s,mission_phase,reference_x,reference_y,reference_z,truth_x,truth_y,truth_z,estimate_x,estimate_y,estimate_z,tracking_error_x_m,tracking_error_y_m,tracking_error_z_m,estimation_error_x_m,estimation_error_y_m,estimation_error_z_m,truth_roll_deg,truth_pitch_deg,truth_yaw_deg,reference_yaw_deg,yaw_tracking_error_deg,thrust_0_n,thrust_1_n,thrust_2_n,thrust_3_n,torque_x_nm,torque_y_nm,torque_z_nm,solver_time_ms,solver_iterations,solver_success,solver_status
0.26,takeoff,0,0,-0.037275716,-1.4192184e-19,-4.2007385e-20,-0.036378893,0.0072459616,-0.014558025,-0.0097426446,-1.4192184e-19,-4.2007385e-20,0.00089682281,0.0072459616,-0.014558025,0.026636248,-5.1873601e-17,9.5593578e-17,1.2722219e-14,0,0,3.0784121,3.0784121,3.0784121,3.0784121,0,0,0,0.02026,0,True,mission_takeoff
0.27,takeoff,0,0,-0.037275716,-1.6149822e-19,-4.987826e-20,-0.037155388,0.0062689171,-0.016270583,-0.0082425311,-1.6149822e-19,-4.987826e-20,0.00012032739,0.0062689171,-0.016270583,0.028912857,-5.6219085e-17,1.0046885e-16,1.2722219e-14,0,0,3.0784121,3.0784121,3.0784121,3.0784121,0,0,0,0.02026,0,True,mission_takeoff
0.28,takeoff,0,0,-0.037275716,-1.8287395e-19,-5.875599e-20,-0.037977021,0.005248658,-0.018119414,-0.0067690057,-1.8287395e-19,-5.875599e-20,-0.00070130541,0.005248658,-0.018119414,0.031208015,-6.0564569e-17,1.0534412e-16,1.2722219e-14,0,0,3.0784121,3.0784121,3.0784121,3.0784121,0,0,0,0.02026,0,True,mission_takeoff
0.29,takeoff,0,0,-0.037275716,-2.0613634e-19,-6.87184e-20,-0.038843791,0.0041866938,-0.020102479,-0.0053208889,-2.0613634e-19,-6.87184e-20,-0.0015680756,0.0041866938,-0.020102479,0.033522902,-6.4910053e-17,1.1021939e-16,1.2722219e-14,0,0,3.0784121,3.0784121,3.0784121,3.0784121,0,0,0,0.02026,0,True,mission_takeoff
0.3,takeoff,0,0,-0.038871572,-2.3137269e-19,-7.9843314e-20,-0.039755699,0.0030922891,-0.022219798,-0.0039009532,-2.3137269e-19,-7.9843314e-20,-0.00088412686,0.0030922891,-0.022219798,0.035854746,-6.9255537e-17,1.1509467e-16,1.2722219e-14,0,0,3.0784121,3.0784121,3.0784121,3.0784121,0,0,0,0.02026,0,True,mission_takeoff
0.31,takeoff,0,0,-0.038871572,-2.5867823e-19,-9.2213341e-20,-0.040716611,0.024415954,-0.039219522,-0.026971136,-2.5867823e-19,-9.2213341e-20,-0.001845039,0.024415954,-0.039219522,0.013745475,-7.3601021e-17,1.1996994e-16,1.2722219e-14,0,0,3.1041935,3.1041935,3.1041935,3.1041935,0,0,0,0.017709999,0,True,mission_takeoff
0.32,takeoff,0,0,-0.038871572,-2.8815035e-19,-1.0591256e-19,-0.041731254,0.025322825,-0.042977651,-0.026883381,-2.8815035e-19,-1.0591256e-19,-0.0028596823,0.025322825,-0.042977651,0.014847873,-7.7946505e-17,1.2484521e-16,1.2722219e-14,0,0,3.1041935,3.1041935,3.1041935,3.1041935,0,0,0,0.017709999,0,True,mission_takeoff
0.33,takeoff,0,0,-0.038871572,-3.1987712e-19,-1.2101946e-19,-0.042799629,0.026262177,-0.04692753,-0.026825186,-3.1987712e-19,-1.2101946e-19,-0.0039280567,0.026262177,-0.04692753,0.015974443,-8.2291989e-17,1.2972048e-16,1.2722219e-14,0,0,3.1041935,3.1041935,3.1041935,3.1041935,0,0,0,0.017709999,0,True,mission_takeoff
0.34,takeoff,0,0,-0.038871572,-3.5394656e-19,-1.376125e-19,-0.043921734,0.02723309,-0.051067444,-0.026803438,-3.5394656e-19,-1.376125e-19,-0.0050501623,0.02723309,-0.051067444,0.017118296,-8.6637473e-17,1.3459575e-16,1.2722219e-14,0,0,3.1041935,3.1041935,3.1041935,3.1041935,0,0,0,0.017709999,0,True,mission_takeoff
0.35,takeoff,0,0,-0.041052071,-3.9044673e-19,-1.5577017e-19,-0.045097571,0.01995782,-0.017369283,-0.043371226,-3.9044673e-19,-1.5577017e-19,-0.0040455003,0.01995782,-0.017369283,0.0017263452,-9.0982957e-17,1.3947102e-16,1.2722219e-14,0,0,3.0385836,3.0385836,3.0385836,3.0385836,0,0,0,0.017042999,0,True,mission_takeoff
0.36,takeoff,0,0,-0.041052071,-4.2944142e-19,-1.7555504e-19,-0.046317297,0.020253411,-0.01844295,-0.044302591,-4.2944142e-19,-1.7555504e-19,-0.0052652267,0.020253411,-0.01844295,0.002014706,-9.5328441e-17,1.443463e-16,1.2722219e-14,0,0,3.0385836,3.0385836,3.0385836,3.0385836,0,0,0,0.017042999,0,True,mission_takeoff
0.37,takeoff,0,0,-0.041052071,-4.7098782e-19,-1.9702511e-19,-0.047568885,0.020552345,-0.019579563,-0.045266378,-4.7098782e-19,-1.9702511e-19,-0.0065168143,0.020552345,-0.019579563,0.0023025072,-9.9673925e-17,1.4922157e-16,1.2722219e-14,0,0,3.0385836,3.0385836,3.0385836,3.0385836,0,0,0,0.017042999,0,True,mission_takeoff
0.38,takeoff,0,0,-0.041052071,-5.1517212e-19,-2.2025719e-19,-0.048852334,0.020853073,-0.020785171,-0.046265079,-5.1517212e-19,-2.2025719e-19,-0.0078002631,0.020853073,-0.020785171,0.002587255,-1.0401941e-16,1.5409684e-16,1.2722219e-14,0,0,3.0385836,3.0385836,3.0385836,3.0385836,0,0,0,0.017042999,0,True,mission_takeoff
0.39,takeoff,0,0,-0.041052071,-5.6208052e-19,-2.4532809e-19,-0.050167644,0.021149335,-0.022045881,-0.047293775,-5.6208052e-19,-2.4532809e-19,-0.0091155731,0.021149335,-0.022045881,0.0028738691,-1.0836489e-16,1.5897211e-16,1.2722219e-14,0,0,3.0385836,3.0385836,3.0385836,3.0385836,0,0,0,0.017042999,0,True,mission_takeoff
0.4,takeoff,0,0,-0.043892137,-6.1179918e-19,-2.7231465e-19,-0.051514815,0.021445197,-0.023352021,-0.048344713,-6.1179918e-19,-2.7231465e-19,-0.0076226776,0.021445197,-0.023352021,0.0031701022,-1.1271038e-16,1.6384738e-16,1.2722219e-14,0,0,2.9924361,2.9924361,2.9924361,2.9924361,0,0,0,0.021337,0,True,mission_takeoff
0.41,takeoff,0,0,-0.043892137,-6.6439826e-19,-3.012826e-19,-0.05288831,0.0071995576,-0.023826241,-0.059075955,-6.6439826e-19,-3.012826e-19,-0.0089961723,0.0071995576,-0.023826241,-0.0061876456,-1.1705586e-16,1.6872265e-16,1.2722219e-14,0,0,2.9924361,2.9924361,2.9924361,2.9924361,0,0,0,0.021337,0,True,mission_takeoff
0.42,takeoff,0,0,-0.043892137,-7.1993512e-19,-3.3228871e-19,-0.054278437,0.0062768633,-0.025147733,-0.060543239,-7.1993512e-19,-3.3228871e-19,-0.0103863,0.0062768633,-0.025147733,-0.0062648015,-1.2140134e-16,1.7359793e-16,1.2722219e-14,0,0,2.9924361,2.9924361,2.9924361,2.9924361,0,0,0,0.021337,0,True,mission_takeoff
0.43,takeoff,0,0,-0.043892137,-7.784942e-19,-3.6540833e-19,-0.055685043,0.0053174846,-0.026526961,-0.062023558,-7.784942e-19,-3.6540833e-19,-0.011792905,0.0053174846,-0.026526961,-0.0063385152,-1.2574683e-16,1.784732e-16,1.2722219e-14,0,0,2.9924361,2.9924361,2.9924361,2.9924361,0,0,0,0.021337,0,True,mission_takeoff
0.44,takeoff,0,0,-0.043892137,-8.4016036e-19,-4.0071712e-19,-0.057108128,0.0043162984,-0.027957516,-0.063512899,-8.4016036e-19,-4.0071712e-19,-0.01321599,0.0043162984,-0.027957516,-0.0064047715,-1.3009231e-16,1.8334847e-16,1.2722219e-14,0,0,2.9924361,2.9924361,2.9924361,2.9924361,0,0,0,0.021337,0,True,mission_takeoff
0.45,takeoff,0,0,-0.047460614,-9.050185e-19,-4.3829072e-19,-0.058547691,0.0032694716,-0.029439437,-0.065014908,-9.050185e-19,-4.3829072e-19,-0.011087077,0.0032694716,-0.029439437,-0.0064672173,-1.344378e-16,1.8822374e-16,1.2722219e-14,0,0,2.9924361,2.9924361,2.9924361,2.9924361,0,0,0,0.021337,0,True,mission_takeoff
